127,15,0,0,-88
180,30,0,0,-88
135,45,0,0,-88
95,60,0,0,-88
94,75,0,0,-88
76,90,0,0,-88
88,105,0,0,-88
91,120,0,0,-88
62,135,0,0,-88
45,150,0,0,-88
67,0,9,0,-88
151,15,9,0,-88
147,30,9,0,-88
127,45,9,0,-88
106,60,9,0,-88
52,75,9,0,-88
83,90,9,0,-88
81,105,9,0,-88
90,120,9,0,-88
99,135,9,0,-88
79,150,9,0,-88
65,0,18,0,-88
111,15,18,0,-88
171,30,18,0,-88
55,45,18,0,-88
67,60,18,0,-88
61,75,18,0,-88
54,90,18,0,-88
58,105,18,0,-88
61,120,18,0,-88
82,135,18,0,-88
73,150,18,0,-88
60,0,18,0,0
168,15,18,0,0
162,30,18,0,0
344,45,18,0,0
241,60,18,0,0
185,75,18,0,0
96,90,18,0,0
180,105,18,0,0
127,120,18,0,0
126,135,18,0,0
82,150,18,0,0
71,0,18,-10,0
158,15,18,-10,0
149,30,18,-10,0
250,45,18,-10,0
171,60,18,-10,0
190,75,18,-10,0
151,90,18,-10,0
168,105,18,-10,0
117,120,18,-10,0
114,135,18,-10,0
85,150,18,-10,0
70,0,18,-20,0
171,15,18,-20,0
225,30,18,-20,0
190,45,18,-20,0
128,60,18,-20,0
126,75,18,-20,0
135,90,18,-20,0
151,105,18,-20,0
110,120,18,-20,0
113,135,18,-20,0
75,150,18,-20,0
68,0,18,-30,0
131,15,18,-30,0
196,30,18,-30,0
141,45,18,-30,0
141,60,18,-30,0
114,75,18,-30,0
107,90,18,-30,0
109,105,18,-30,0
98,120,18,-30,0
96,135,18,-30,0
74,150,18,-30,0
61,0,18,-40,0
146,15,18,-40,0
83,30,18,-40,0
131,45,18,-40,0
96,60,18,-40,0
88,75,18,-40,0
49,90,18,-40,0
85,105,18,-40,0
90,120,18,-40,0
78,135,18,-40,0
62,150,18,-40,0
62,0,18,-40,0
215,15,18,-40,0
229,30,18,-40,0
125,45,18,-40,0
99,60,18,-40,0
53,75,18,-40,0
78,90,18,-40,0
45,105,18,-40,0
87,120,18,-40,0
86,135,18,-40,0
66,150,18,-40,0
56,0,18,-50,0
149,15,18,-50,0
205,30,18,-50,0
101,45,18,-50,0
68,60,18,-50,0
64,75,18,-50,0
61,90,18,-50,0
58,105,18,-50,0
68,120,18,-50,0
72,135,18,-50,0
59,150,18,-50,0
36,0,18,-60,0
139,15,18,-60,0
110,30,18,-60,0
56,45,18,-60,0
48,60,18,-60,0
42,75,18,-60,0
40,90,18,-60,0
42,105,18,-60,0
45,120,18,-60,0
52,135,18,-60,0
50,150,18,-60,0
293,0,18,-60,178
57,15,18,-60,178
113,30,18,-60,178
123,45,18,-60,178
101,60,18,-60,178
177,75,18,-60,178
215,90,18,-60,178
208,105,18,-60,178
166,120,18,-60,178
190,135,18,-60,178
67,150,18,-60,178
229,0,17,-50,178
79,15,17,-50,178
117,30,17,-50,178
162,45,17,-50,178
123,60,17,-50,178
68,75,17,-50,178
135,90,17,-50,178
187,105,17,-50,178
171,120,17,-50,178
218,135,17,-50,178
173,150,17,-50,178
293,0,16,-40,178
90,15,16,-40,178
126,30,16,-40,178
144,45,16,-40,178
91,60,16,-40,178
138,75,16,-40,178
270,90,16,-40,178
177,105,16,-40,178
208,120,16,-40,178
229,135,16,-40,178
151,150,16,-40,178
158,0,15,-30,178
106,15,15,-30,178
143,30,15,-30,178
118,45,15,-30,178
91,60,15,-30,178
57,75,15,-30,178
134,90,15,-30,178
75,105,15,-30,178
177,120,15,-30,178
171,135,15,-30,178
160,150,15,-30,178
180,0,14,-20,178
90,15,14,-20,178
108,30,14,-20,178
104,45,14,-20,178
79,60,14,-20,178
107,75,14,-20,178
107,90,14,-20,178
65,105,14,-20,178
154,120,14,-20,178
180,135,14,-20,178
153,150,14,-20,178
146,0,13,-10,178
84,15,13,-10,178
91,30,13,-10,178
77,45,13,-10,178
47,60,13,-10,178
87,75,13,-10,178
91,90,13,-10,178
119,105,13,-10,178
168,120,13,-10,178
153,135,13,-10,178
153,150,13,-10,178
141,0,12,0,178
74,15,12,0,178
67,30,12,0,178
61,45,12,0,178
40,60,12,0,178
56,75,12,0,178
65,90,12,0,178
89,105,12,0,178
109,120,12,0,178
139,135,12,0,178
105,150,12,0,178
114,0,11,9,178
60,15,11,9,178
55,30,11,9,178
49,45,11,9,178
45,60,11,9,178
46,75,11,9,178
53,90,11,9,178
65,105,11,9,178
99,120,11,9,178
128,135,11,9,178
53,150,11,9,178
47,0,11,9,-94
109,15,11,9,-94
136,30,11,9,-94
134,45,11,9,-94
73,60,11,9,-94
158,75,11,9,-94
43,90,11,9,-94
62,105,11,9,-94
35,120,11,9,-94
35,135,11,9,-94
36,150,11,9,-94
47,0,11,9,-94
59,15,11,9,-94
130,30,11,9,-94
130,45,11,9,-94
75,60,11,9,-94
205,75,11,9,-94
83,90,11,9,-94
60,105,11,9,-94
52,120,11,9,-94
50,135,11,9,-94
51,150,11,9,-94
56,0,20,9,-94
110,15,20,9,-94
128,30,20,9,-94
114,45,20,9,-94
74,60,20,9,-94
110,75,20,9,-94
60,90,20,9,-94
50,105,20,9,-94
43,120,20,9,-94
40,135,20,9,-94
41,150,20,9,-94
33,0,29,9,-94
143,15,29,9,-94
107,30,29,9,-94
95,45,29,9,-94
73,60,29,9,-94
54,75,29,9,-94
36,90,29,9,-94
29,105,29,9,-94
26,120,29,9,-94
25,135,29,9,-94
26,150,29,9,-94
270,0,29,9,84
58,15,29,9,84
156,30,29,9,84
141,45,29,9,84
125,60,29,9,84
185,75,29,9,84
265,90,29,9,84
237,105,29,9,84
199,120,29,9,84
180,135,29,9,84
88,150,29,9,84
293,0,19,7,84
162,15,19,7,84
126,30,19,7,84
64,45,19,7,84
119,60,19,7,84
80,75,19,7,84
199,90,19,7,84
320,105,19,7,84
260,120,19,7,84
202,135,19,7,84
160,150,19,7,84
171,0,9,5,84
62,15,9,5,84
109,30,9,5,84
100,45,9,5,84
108,60,9,5,84
162,75,9,5,84
180,90,9,5,84
180,105,9,5,84
229,120,9,5,84
215,135,9,5,84
160,150,9,5,84
246,0,0,3,84
98,15,0,3,84
88,30,0,3,84
54,45,0,3,84
69,60,0,3,84
173,75,0,3,84
246,90,0,3,84
182,105,0,3,84
135,120,0,3,84
149,135,0,3,84
180,150,0,3,84
168,0,-9,1,84
88,15,-9,1,84
85,30,-9,1,84
80,45,-9,1,84
67,60,-9,1,84
141,75,-9,1,84
202,90,-9,1,84
123,105,-9,1,84
105,120,-9,1,84
131,135,-9,1,84
73,150,-9,1,84
171,0,-18,0,84
72,15,-18,0,84
71,30,-18,0,84
48,45,-18,0,84
93,60,-18,0,84
164,75,-18,0,84
168,90,-18,0,84
111,105,-18,0,84
90,120,-18,0,84
101,135,-18,0,84
63,150,-18,0,84
135,0,-27,-1,84
65,15,-27,-1,84
67,30,-27,-1,84
71,45,-27,-1,84
50,60,-27,-1,84
168,75,-27,-1,84
130,90,-27,-1,84
50,105,-27,-1,84
70,120,-27,-1,84
66,135,-27,-1,84
84,150,-27,-1,84
